Sr. No.,Category,Name,Opening Hours,Closing Hours,Latitude,Longitude,Duration,Price,Age Suitability,Best time to visit (Day),Best time to visit (Year),Review(Score),Suggest Way to get there,Best Way to Get there,Tag(s)
1,Landmark,Spire,0000,2359,53.350027,-6.260255,15,0,All,Evening,Summer,4.1,Walk,Walk,
2,Landmark,Trinity College,0900,1700,53.343986,-6.254572,90,14,All,Morning,Summer,4.5,Walk,Walk,
3,Landmark,Kilmainham Gaol,0930,1800,53.342062,-6.309794,90,8,All,Afternoon,Summer,4.5,Public Transportation,Public Transportation,
4,Landmark,Temple Bar Area,0000,2359,53.345253,-6.267448,60,0,Adult,Night,Summer,4.5,Walk,Walk,
5,Landmark,Molly Malone Statue,0000,2359,53.343808,-6.260992,10,0,All,Morning,Summer,,Walk,Walk,
6,Landmark,Samuel Beckett Bridge,0000,2359,53.347109,-6.241403,15,0,All,Evening,Summer,4.6,Public Transportation,Public Transportation,
7,Landmark,The Custom House,0900,1700,53.348877,-6.253128,30,1,All,Morning,Winter,4.4,Walk,Walk,
8,Landmark,Ha'penny Bridge,0000,2359,53.346483,-6.263119,15,0,All,Evening,Summer,4.4,Walk,Walk,
9,Landmark,Aviva Stadium,1000,1500,53.335386,-6.228403,75,10,All,Afternoon,Summer,4.6,Public Transportation,Public Transportation,
10,Landmark,Poolbeg Lighthouse,0000,2359,53.342317,-6.151346,90,0,All,Evening,Summer,4.7,Car,Car,
11,Nature/Park,St. Stephen's Green,0800,2359,53.3382,-6.2591,30,0,All,Afternoon,Summer,4.8,Public Transportation,Public Transportation,
12,Nature/Park,Phoenix Park,0800,2359,53.3559,-6.3298,60,0,All,Afternoon,Summer,4.3,Walk,Walk,
13,Nature/Park,Merrion Square,0800,2359,53.3396,-6.249,15,0,All,Afternoon,Summer,4.1,Walk,Walk,
14,Nature/Park,Irish National War Memorial Gardens,0800,2359,53.3456,-6.3135,30,0,All,Afternoon,Summer,4.9,Walk,Walk,
15,Nature/Park,National Botanic Gardens,1000,1630,53.3725,-6.2719,45,0,All,Afternoon,Summer,4.8,Walk,Walk,
16,Nature/Park,Sandymount Green,0800,2359,53.34138972,-6.2219696,60,0,All,Afternoon,Summer,4.6,Walk,Walk,
17,Nature/Park,Ticknock Hill,0800,2359,53.25954502,-6.255942198,300,0,All,Afternoon,Summer,4.5,Car,Car,
18,Nature/Park,Dublin Zoo,0930,1800,53.3562,-6.3053,120,19.5,All,Afternoon,Summer,4.1,Public Transportation,Public Transportation,
19,Nature/Park,Howth,0800,2359,53.3786,-6.057,300,0,All,Afternoon,Summer,4.6,Public Transportation,Public Transportation,
20,Nature/Park,SEA Life Bray,,1800,53.2034,-6.0982,90,25,All,Afternoon,Summer,3.5,Public Transportation,Public Transportation,
21,Shopping,Stephen's Green Shopping Centre,0900,1900,53.34014,-6.261419,,,All,Afternoon,All,4.1,,,
22,Shopping,Powerscourt Centre,1000,1800,53.342141,-6.261221,,,All,Afternoon,All,4.3,,,
23,Shopping,Jervis Shopping Centre,0900,1830,53.348541,-6.265215,,,All,Afternoon,All,4.2,,,
24,Shopping,George's Street Arcade,0900,1830,53.342483,-6.263913,,,All,Afternoon,All,4.2,,,
25,Shopping,Royal Hibernian Way Shopping Centre,0800,1800,53.341355,-6.258368,,,All,Afternoon,All,4.4,,,
26,Shopping,Ilac Shopping Centre,0900,1830,53.350405,-6.262796,,,All,Afternoon,All,4,,,
27,Shopping,The Westbury Mall,0800,1800,53.341664,-6.260692,,,All,Afternoon,All,4.3,,,
28,Shopping,Moore Street Shopping Mall,1000,1900,53.351385,-6.262978,,,All,Afternoon,All,3.9,,,
29,Shopping,Point Square Dublin,0800,2300,53.348365,-6.228373,,,All,Afternoon,All,4,,,
30,Shopping,Swan Shopping Center,0900,2100,53.323137,-6.264928,,,All,Afternoon,All,3.9,,,
31,Theatres/Movies,Bord Gáis Energy Theatre,,,53.344201,-6.240274,,Varies,Varies,All,All,4.6,,,
32,Theatres/Movies,3Arena,,,53.347512,-6.228482,,Varies,Varies,All,All,4.5,,,
33,Theatres/Movies,The Academy,,,53.34805,-6.261853,,Varies,Varies,All,All,4.2,,,
34,Theatres/Movies,Olympia Theatre,,,53.344318,-6.266114,,Varies,Varies,All,All,4.5,,,
35,Theatres/Movies,The Abbey Theatre Dublin,,,53.34854,-6.257107,,Varies,Varies,All,All,4.7,,,
36,Theatres/Movies,Gaiety Theatre,,,53.340453,-6.261572,,Varies,Varies,All,All,4.5,,,
37,Theatres/Movies,Liberty Hall Theatre,,,53.349805,-6.26031,,Varies,Varies,All,All,4.3,,,
38,Theatres/Movies,Ambassador Theatre,,,53.352809,-6.261987,,Varies,Varies,All,All,4,,,
39,Theatres/Movies,National Concert Hall,,,53.334718,-6.259216,,Varies,Varies,All,All,4.6,,,
40,Brewery,Guiness Storehouse,0930,1700,53.3419,6.2867,90,18.50 +,All,Afternoon,All,4.5,Public Transportation,Public Transportation,
41,Distillery ,Jameson Distillery Bow St.,1000,1730,53.3484,6.2774,40,18+,All,All,All,4.5,Public Transportation,Public Transportation,
42,Restaurant,Restaurant Patrick Guilbad,1230/1900,1400/2200,53.3384,6.253,120,100-200,All,Evening,All,4.5,Public Transportation,Public Transportation,
43,Restaurant,Chai Yo,1230/1730,1500/0000,53.3357,6.2478,90,50,All,All,All,4.5,Public Transportation,Public Transportation,
44,Quick Bite,Mamas Revenge,1000,2000,53.3419,6.2538,60,20,All,All,All,4.5,Public Transportation,Public Transportation,
45,Cafe,The Vintage Teapot,0930,2000,53.3504,6.2597,60,10+,All,All,All,4.5,Public Transportation,Public Transportation,
46,,,,,,,,,,,,,Public Transportation,Public Transportation,
47,,,,,,,,,,,,,Public Transportation,Public Transportation,
48,,,,,,,,,,,,,Public Transportation,Public Transportation,
49,,,,,,,,,,,,,Public Transportation,Public Transportation,
50,,,,,,,,,,,,,,,
